checked_at_jst,jan,product_name,supplier,url,http_status,fetch_ok,parser_hint,parsed_price_yen,expected_price_yen,effective_price_yen,enoking_buy_price_yen,buyback_source,gross_profit_yen,in_stock,restock_watch,shipping_included,condition_required,is_buy_candidate,decision_reason,raw_signals,notes
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,My Nintendo Store,https://store-jp.nintendo.com/item/hardware-accessory/VM_BEE_S_KB6AA/,200,True,nintendo_store,,69980,69980,76500,エノキング,6520,,True,True,new,False,NO_POSITIVE_STOCK_SIGNAL,JavaScriptを有効にする必要があります|JavaScript,公式。買取76500円に対し69980円なら粗利6520円。JS/待機列ありrequestsのみでは取得不可の場合あり; NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Yahoo digitalisland,https://store.shopping.yahoo.co.jp/digitalisland/4902370552683.html,200,True,yahoo,,95980,95980,76500,エノキング,-19480,,False,True,new,False,NO_POSITIVE_STOCK_SIGNAL,入荷待ち|カートに入れる|JavaScript,現時点では高値監視。送料無料表記を確認対象; NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Rakuten uriurishop,https://item.rakuten.co.jp/uriurishop/4902370552683/,200,True,rakuten,,93596,93596,76500,エノキング,-17096,,False,True,new,False,NO_POSITIVE_STOCK_SIGNAL,在庫切れ|JavaScript,現時点では高値監視; NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Rakuten Search Discovery,https://search.rakuten.co.jp/search/mall/4902370552683/,,False,search_discovery,,,,76500,エノキング,,,False,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,"発見用。価格抽出は買い判定に使わない。楽天APIアダプタ実装後にAPI優先へ移行; FETCH_ERROR: ReadTimeout: HTTPSConnectionPool(host='search.rakuten.co.jp', port=443): Read timed out. (read timeout=10)|TIMEOUT_BLOCKED"
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Yahoo Shopping Search Discovery,https://shopping.yahoo.co.jp/search?p=4902370552683,200,True,search_discovery,,,,76500,エノキング,,,False,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,在庫なし|在庫あり|JavaScript,発見用。価格抽出は買い判定に使わない。Yahoo公式APIアダプタ実装後にAPI優先へ移行; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION|NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Amazon JP Search Discovery,https://www.amazon.co.jp/s?k=4902370552683,503,True,search_discovery,,,,76500,エノキング,,,False,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,発見用。PA-APIが本命。通常ページ取得は低頻度のみ; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,BicCamera Search Discovery,https://www.biccamera.com/bc/category/?q=4902370552683,,False,search_discovery,,,,76500,エノキング,,,False,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,"量販店横断の発見用。価格・在庫は手動確認または専用パーサー化; FETCH_ERROR: ReadTimeout: HTTPSConnectionPool(host='www.biccamera.com', port=443): Read timed out. (read timeout=10)|TIMEOUT_BLOCKED"
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Yamada Webcom Search Discovery,https://www.yamada-denkiweb.com/search/4902370552683,403,True,search_discovery,,,,76500,エノキング,,,False,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,量販店横断の発見用。価格・在庫は手動確認または専用パーサー化; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Joshin Web Search Discovery,https://joshinweb.jp/search/?searchword=4902370552683,403,True,search_discovery,,,,76500,エノキング,,,False,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,量販店横断の発見用。サーバー負荷を避けるため1日1回程度; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION
2026-06-15 14:40:00 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Edion Search Discovery,https://www.edion.com/search?keyword=4902370552683,200,True,search_discovery,,,,76500,エノキング,,,False,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,量販店横断の発見用。サーバー負荷を避けるため1日1回程度; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION
